IndicatorCode,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
35,"1- ސްކޫލަށް ހާޒިރުވުމުގައި ކޮންސިސްޓެންސީ ނުހުންނަ ދަރިވަރުންގެ މަޢުލޫމާތު ކްލާސް ޓީޗަރުން ސްކޫލުގެ ވެރިންނަށް ފޯރުކޮށްދޭ
",ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން ދެނެގަތުން,1.3.1.1,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
36,"2- ޚާއްޞަ ހާލަތްތައް ދިމާވެގެން ސްކޫލަށް ހާޒިރުނުވާ ދަރިވަރުން، ސަބަބު އެނގޭނެހެން ދެނެގަނޭ
",ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން ދެނެގަތުން,1.3.1.1,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
37,"3- ޚާއްޞަ ހާލަތްތައް ދިމާވެގެން  ސްކޫލަށް ހާޒިރުނުވާ ދަރިވަރުންގެ ރެކޯޑުތައް ބަލަހައްޓާ
",ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން ދެނެގަތުން,1.3.1.1,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
38,1- ދިމާވާ ހާލަތެއްގެ ސަބަބުން ސްކޫލަށް ހާޒިރުނުވެވޭ ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ ގޮތެއް ހަމަޖައްސައިފައި ވޭ, ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,1.3.1.2,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
39,2- ދާއިމީ ނުކުޅެދުންތެރިކަމެއްގެ ސަބަބުން ސްކޫލަށް ހާޒިރުނުވެވޭ ދަރިވަރުންނަށް ތަޢުލީމު ފޯރުކޮށްދޭ , ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,1.3.1.2,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
40,3- ސްކޫލުން ވަކިވެދާނެކަމުގެ ބިރު ހީވާ ދަރިވަރުންނަށް ގައިޑެންސް ފޯރުކޮށްދޭ, ޚާއްސަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,1.3.1.2,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
41,1- ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި  ދަރިވަރުންނާ މެދު ސްކޫލް މުވައްޒަފުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ," ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުން ބަލައިގަތުން
 ",1.3.1.3,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
42,"2- ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާ މެދު ބެލެނިވެރިން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
"," ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުން ބަލައިގަތުން
 ",1.3.1.3,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
43,"3- ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާ މެދު އެހެނިހެން ދަރިވަރުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
"," ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުން ބަލައިގަތުން
 ",1.3.1.3,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
44,"1- ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާ މެދު ސްކޫލް މުވައްޒަފުން ދެކޭގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
",ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާމެދު ދެކޭ ގޮތް ރަނގަޅުކުުރުން,1.3.1.4,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
45,"2- ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާ މެދު ބެލެނިވެރިން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
",ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާމެދު ދެކޭ ގޮތް ރަނގަޅުކުުރުން,1.3.1.4,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
46,"3- ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާ މެދު އެހެނިހެން ދަރިވަރުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
",ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާމެދު ދެކޭ ގޮތް ރަނގަޅުކުުރުން,1.3.1.4,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
48,1- އައިސީޕީ ގައިޑްލައިނަށް ރިޢާޔްތްކޮށްގެން އައި ސީ ޕީ ތައްޔާރުކޮށްފައި ވޭ,ބޭނުންވާ ދަރިވަރުންނަށް އައި ސީ ޕީ ތައްޔާރުކުރުން,1.4.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
